n_tasks,n_tokens_per_task,n_tokens_total,mutual_info,alpha,fscore
3,5000,15000,0.75,0.96,0.605
4,5000,20000,0.75,0.96,0.6242
5,5000,25000,0.75,0.96,0.6296
6,5000,30000,0.75,0.96,0.6842
7,5000,35000,0.75,0.96,0.6981
8,5000,40000,0.75,0.96,0.7088
9,5000,45000,0.75,0.96,0.7171
10,5000,50000,0.75,0.96,0.7118
1,5000,5000,0.75,0.96,0.4374
2,5000,10000,0.75,0.96,0.5192
3,5000,15000,0.75,0.96,0.5771
4,5000,20000,0.75,0.96,0.6381
5,5000,25000,0.75,0.96,0.6344
6,5000,30000,0.75,0.96,0.6702
7,5000,35000,0.75,0.96,0.7045
8,5000,40000,0.75,0.96,0.6901
9,5000,45000,0.75,0.96,0.7087
10,5000,50000,0.55,0.9,0.7273
1,1000,1000,0.55,0.9,0.0729
2,1000,2000,0.55,0.9,0.0991
3,1000,3000,0.55,0.9,0.2022
4,1000,4000,0.55,0.9,0.2288
5,1000,5000,0.55,0.9,0.2359
6,1000,6000,0.55,0.9,0.3058
7,1000,7000,0.55,0.9,0.3428
8,1000,8000,0.55,0.9,0.3503
9,1000,9000,0.55,0.9,0.3935
10,1000,10000,0.55,0.9,0.3867
1,1000,1000,0.55,0.9,0.0645
2,1000,2000,0.55,0.9,0.1191
3,1000,3000,0.55,0.9,0.2007
4,1000,4000,0.55,0.9,0.2556
5,1000,5000,0.55,0.9,0.2308
6,1000,6000,0.55,0.9,0.325
7,1000,7000,0.55,0.9,0.3687
8,1000,8000,0.55,0.9,0.2977
9,1000,9000,0.55,0.9,0.4227
10,1000,10000,0.55,0.9,0.4221
1,1000,1000,0.55,0.9,0.0594
2,1000,2000,0.55,0.9,0.1153
3,1000,3000,0.55,0.9,0.1917
4,1000,4000,0.55,0.9,0.2519
5,1000,5000,0.55,0.9,0.2639
6,1000,6000,0.55,0.9,0.2878
7,1000,7000,0.55,0.9,0.3806
8,1000,8000,0.55,0.9,0.3911
9,1000,9000,0.55,0.9,0.3505
10,1000,10000,0.55,0.9,0.4098
1,1000,1000,0.55,0.9,0.0624
2,1000,2000,0.55,0.9,0.1097
3,1000,3000,0.55,0.9,0.1915
4,1000,4000,0.55,0.9,0.2568
5,1000,5000,0.55,0.9,0.2642
6,1000,6000,0.55,0.9,0.2837
7,1000,7000,0.55,0.9,0.356
8,1000,8000,0.55,0.9,0.3895
9,1000,9000,0.55,0.9,0.4292
10,1000,10000,0.55,0.9,0.4196
1,5000,5000,0.55,0.9,0.4535
2,5000,10000,0.55,0.9,0.4992
3,5000,15000,0.55,0.9,0.5004
4,5000,20000,0.55,0.9,0.5194
5,5000,25000,0.55,0.9,0.5395
6,5000,30000,0.55,0.9,0.5611
7,5000,35000,0.55,0.9,0.5865
8,5000,40000,0.55,0.9,0.5986
9,5000,45000,0.55,0.9,0.594
10,5000,50000,0.55,0.9,0.6022
1,5000,5000,0.55,0.9,0.4351
2,5000,10000,0.55,0.9,0.4691
3,5000,15000,0.55,0.9,0.4857
4,5000,20000,0.55,0.9,0.5152
5,5000,25000,0.55,0.9,0.5409
6,5000,30000,0.55,0.9,0.5696
7,5000,35000,0.55,0.9,0.5798
8,5000,40000,0.55,0.9,0.6315
9,5000,45000,0.55,0.9,0.6262
10,5000,50000,0.55,0.9,0.6381
1,5000,5000,0.55,0.9,0.4527
2,5000,10000,0.55,0.9,0.4353
3,5000,15000,0.55,0.9,0.4839
4,5000,20000,0.55,0.9,0.4847
5,5000,25000,0.55,0.9,0.524
6,5000,30000,0.55,0.9,0.5827
7,5000,35000,0.55,0.9,0.6079
8,5000,40000,0.55,0.9,0.6288
9,5000,45000,0.55,0.9,0.6436
10,5000,50000,0.55,0.9,0.6463
1,1000,1000,0.21,0.7,0.0682
2,1000,2000,0.21,0.7,0.0757
3,1000,3000,0.21,0.7,0.1313
4,1000,4000,0.21,0.7,0.1622
5,1000,5000,0.21,0.7,0.1471
6,1000,6000,0.21,0.7,0.1645
7,1000,7000,0.21,0.7,0.207
8,1000,8000,0.21,0.7,0.2051
9,1000,9000,0.21,0.7,0.2171
10,1000,10000,0.21,0.7,0.2338
1,1000,1000,0.21,0.7,0.0597
2,1000,2000,0.21,0.7,0.0941
3,1000,3000,0.21,0.7,0.1532
4,1000,4000,0.21,0.7,0.1981
5,1000,5000,0.21,0.7,0.1875
6,1000,6000,0.21,0.7,0.2188
7,1000,7000,0.21,0.7,0.2596
8,1000,8000,0.21,0.7,0.2605
9,1000,9000,0.21,0.7,0.2272
10,1000,10000,0.21,0.7,0.2179
1,1000,1000,0.21,0.7,0.0597
2,1000,2000,0.21,0.7,0.1018
3,1000,3000,0.21,0.7,0.1695
4,1000,4000,0.21,0.7,0.1883
5,1000,5000,0.21,0.7,0.1938
6,1000,6000,0.21,0.7,0.2107
7,1000,7000,0.21,0.7,0.2258
8,1000,8000,0.21,0.7,0.2309
9,1000,9000,0.21,0.7,0.2538
10,1000,10000,0.21,0.7,0.2232
1,1000,1000,0.21,0.7,0.0581
2,1000,2000,0.21,0.7,0.1085
3,1000,3000,0.21,0.7,0.1645
4,1000,4000,0.21,0.7,0.1809
5,1000,5000,0.21,0.7,0.1743
6,1000,6000,0.21,0.7,0.2054
7,1000,7000,0.21,0.7,0.224
8,1000,8000,0.21,0.7,0.2353
9,1000,9000,0.21,0.7,0.2266
10,1000,10000,0.21,0.7,0.2222
1,5000,5000,0.21,0.7,0.4504
2,5000,10000,0.21,0.7,0.3873
3,5000,15000,0.21,0.7,0.3898
4,5000,20000,0.21,0.7,0.3931
5,5000,25000,0.21,0.7,0.3916
6,5000,30000,0.21,0.7,0.4139
7,5000,35000,0.21,0.7,0.4102
8,5000,40000,0.21,0.7,0.4243
9,5000,45000,0.21,0.7,0.4467
10,5000,50000,0.21,0.7,0.4558
1,5000,5000,0.21,0.7,0.4279
2,5000,10000,0.21,0.7,0.3778
3,5000,15000,0.21,0.7,0.3566
4,5000,20000,0.21,0.7,0.3824
5,5000,25000,0.21,0.7,0.4047
6,5000,30000,0.21,0.7,0.4017
7,5000,35000,0.21,0.7,0.4253
8,5000,40000,0.21,0.7,0.4207
9,5000,45000,0.21,0.7,0.4403
10,5000,50000,0.21,0.7,0.4523
1,5000,5000,0.21,0.7,0.4328
2,5000,10000,0.21,0.7,0.3596
3,5000,15000,0.21,0.7,0.3878
4,5000,20000,0.21,0.7,0.3505
5,5000,25000,0.21,0.7,0.3682
6,5000,30000,0.21,0.7,0.378
7,5000,35000,0.21,0.7,0.4109
8,5000,40000,0.21,0.7,0.4205
9,5000,45000,0.21,0.7,0.4369
10,5000,50000,0.21,0.7,0.4239
1,5000,5000,0.21,0.7,0.4313
2,5000,10000,0.21,0.7,0.3533
3,5000,15000,0.21,0.7,0.3467
4,5000,20000,0.21,0.7,0.3525
5,5000,25000,0.21,0.7,0.3605
6,5000,30000,0.21,0.7,0.3718
7,5000,35000,0.21,0.7,0.3745
8,5000,40000,0.21,0.7,0.395
9,5000,45000,0.21,0.7,0.3996
10,5000,50000,0.21,0.7,0.422
1,1000,1000,0,0.2,0.0745
2,1000,2000,0,0.2,0.0283
3,1000,3000,0,0.2,0.0234
4,1000,4000,0,0.2,0.0266
5,1000,5000,0,0.2,0.0238
6,1000,6000,0,0.2,0.0258
7,1000,7000,0,0.2,0.0257
8,1000,8000,0,0.2,0.0253
9,1000,9000,0,0.2,0.0259
10,1000,10000,0,0.2,0.0239
1,1000,1000,0,0.2,0.0645
2,1000,2000,0,0.2,0.0277
3,1000,3000,0,0.2,0.0268
4,1000,4000,0,0.2,0.0277
5,1000,5000,0,0.2,0.0243
6,1000,6000,0,0.2,0.0288
7,1000,7000,0,0.2,0.0258
8,1000,8000,0,0.2,0.0255
9,1000,9000,0,0.2,0.0266
10,1000,10000,0,0.2,0.0256
1,1000,1000,0,0.2,0.0572
2,1000,2000,0,0.2,0.0279
3,1000,3000,0,0.2,0.0251
4,1000,4000,0,0.2,0.0231
5,1000,5000,0,0.2,0.0238
6,1000,6000,0,0.2,0.0271
7,1000,7000,0,0.2,0.0254
8,1000,8000,0,0.2,0.0276
9,1000,9000,0,0.2,0.0236
10,1000,10000,0,0.2,0.0231
